feature,iv
PREV_DAYS_FIRST_DUE_MIN,0.03780280010266623
CC_AMT_PAYMENT_CURRENT_MAX,0.037790427516736017
DAYS_ID_PUBLISH,0.0372389508183606
PREV_AMT_DOWN_PAYMENT_MEAN,0.037217284450342406
PREV_DAYS_DECISION_MIN,0.03684711745072562
PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,0.03623793494633438
INST_INST_DAYS_LATE_MAX,0.035974164432872865
PREV_DAYS_LAST_DUE_MIN,0.03562636501272162
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.035587786125388605
REGION_POPULATION_RELATIVE,0.034794927768729625
PREV_DAYS_TERMINATION_MIN,0.03465416868772577
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,0.034555170185932314
PREV_RATE_DOWN_PAYMENT_MAX,0.03288575588120719
INST_AMT_INSTALMENT_MAX,0.03278223161772062
ANOM_DAYS_EMPLOYED,0.03272360881618238
FLAG_EMP_PHONE,0.032701904006181434
PREV_RATE_DOWN_PAYMENT_SUM,0.032641445671457096
REG_CITY_NOT_WORK_CITY,0.032574940133415775
INST_AMT_PAYMENT_MAX,0.03255434592909605
FLOORSMAX_MEDI,0.03227344877657261
FLOORSMAX_AVG,0.03214332646587282
CC_AMT_DRAWINGS_POS_CURRENT_MAX,0.03128783502072712
INST_INST_DAYS_LATE_SUM,0.031197344995214156
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,0.031169070328852383
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,0.03115630723424768
PREV_DAYS_FIRST_DUE_SUM,0.03104662426599802
INST_INST_LATE_FLAG_MAX,0.030997493286894676
FLOORSMAX_MODE,0.03081681672165095
BUREAU_BUREAU_CREDIT_DEBT_RATIO_MIN,0.030563140773744904
EXT_SOURCE_STD,0.030148508469378384
PREV_DAYS_FIRST_DUE_MEAN,0.02904767394590204
FLAG_DOCUMENT_3,0.028944287332599634
INST_AMT_PAYMENT_SUM,0.028782171585353233
INST_INST_SHORTFALL_MAX,0.028116623191281893
BUREAU_AMT_ANNUITY_MEAN,0.02807354964397043
DAYS_REGISTRATION,0.028007828025428817
INST_INST_SHORTFALL_FLAG_MAX,0.027849667623121948
INST_INST_LATE_FLAG_SUM,0.0276445500870621
INST_AMT_PAYMENT_MEAN,0.027590930213858694
PREV_DAYS_FIRST_DRAWING_SUM,0.027545129523841205
INST_DAYS_ENTRY_PAYMENT_SUM,0.02733022164497985
PREV_DAYS_LAST_DUE_MEAN,0.027040931838596315
INST_DAYS_INSTALMENT_SUM,0.026919066425904487
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,0.026874078722480578
POS_MONTHS_BALANCE_MEAN,0.026467879882304785
AMT_ANNUITY,0.025792902305518527
POS_RECORD_COUNT,0.025594890537805545
FLOORSMIN_MEDI,0.02538507084105575
TOTALAREA_MODE,0.02528953814795412
LIVINGAREA_AVG,0.02511311413799691
INST_INST_DAYS_LATE_MEAN,0.02510736274147657
PREV_DAYS_TERMINATION_MEAN,0.024749446602651503
PREV_DAYS_LAST_DUE_SUM,0.02469663103534229
BUREAU_BUREAU_IS_ACTIVE_MIN,0.024651174782577102
FLOORSMIN_MODE,0.0243615244505101
LIVINGAREA_MEDI,0.024265847542163405
FLOORSMIN_AVG,0.023393886234356887
REG_CITY_NOT_LIVE_CITY,0.02336013683517137
LIVINGAREA_MODE,0.023347601113909138
CC_AMT_PAYMENT_CURRENT_MEAN,0.023266149631255846
PREV_AMT_ANNUITY_MIN,0.02314284891190934
ELEVATORS_AVG,0.02282878907148675
POS_SK_DPD_DEF_MEAN,0.022773730888291516
APARTMENTS_AVG,0.02276587688969563
INST_AMT_INSTALMENT_SUM,0.022422971859617752
INST_INST_SHORTFALL_FLAG_SUM,0.022359027414733383
PREV_DAYS_TERMINATION_SUM,0.02230605248187761
APARTMENTS_MEDI,0.02190871382348766
BUREAU_BUREAU_IS_ACTIVE_MAX,0.02176055429353121
PREV_RATE_INTEREST_PRIMARY_MEAN,0.021727008683842974
DOCUMENT_COUNT,0.021448112001344628
INST_NUM_INSTALMENT_VERSION_MEAN,0.02142786510508812
APARTMENTS_MODE,0.02122008622309386
PREV_RATE_INTEREST_PRIMARY_MIN,0.020748344141871062
PREV_RATE_DOWN_PAYMENT_MEAN,0.02030053235554659
PREV_RATE_INTEREST_PRIMARY_MAX,0.020098323218009667
PREV_SELLERPLACE_AREA_MEAN,0.020043784846225883
PREV_CNT_PAYMENT_MAX,0.02003380285502985
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.01998004033300476
PREV_AMT_ANNUITY_MEAN,0.019925953523305333
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,0.019698347192352292
INST_AMT_INSTALMENT_MEAN,0.01945274272146619
PREV_DAYS_FIRST_DRAWING_MEAN,0.01924072294782512
INST_NUM_INSTALMENT_VERSION_SUM,0.01893396875104955
POS_SK_DPD_DEF_MAX,0.018608520144941458
PREV_CNT_PAYMENT_MEAN,0.018390698431193626
PREV_PREV_ANNUITY_CREDIT_RATIO_MAX,0.018303468479236445
PREV_HOUR_APPR_PROCESS_START_MEAN,0.018267428108989316
PREV_HOUR_APPR_PROCESS_START_MIN,0.018042672565829157
ELEVATORS_MEDI,0.018019069527539473
PREV_PREV_IS_APPROVED_MIN,0.017428078570376433
CONTACT_FLAG_COUNT,0.017004832638611064
LIVINGAPARTMENTS_MEDI,0.01683545252374863
PREV_SELLERPLACE_AREA_MAX,0.01680074469355015
LIVINGAPARTMENTS_AVG,0.016737526181038926
POS_DPD_RATE,0.016423981903666153
POS_POS_IS_DPD_MEAN,0.016423981903666153
ELEVATORS_MODE,0.016364355406018084
BUREAU_OVERDUE_COUNT,0.016135921592899102
BUREAU_BUREAU_IS_OVERDUE_SUM,0.016135921592899102
BUREAU_AMT_ANNUITY_MAX,0.01592207321900848
LIVINGAPARTMENTS_MODE,0.01536400994129538
PREV_AMT_GOODS_PRICE_MIN,0.01522322712875768
PREV_PREV_ANNUITY_CREDIT_RATIO_MIN,0.015164962333795318
COMMONAREA_AVG,0.015142005207613066
PREV_PREV_ANNUITY_CREDIT_RATIO_MEAN,0.015119826478613133
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.015021958525953581
PREV_PREV_IS_APPROVED_SUM,0.014462908558318418
